bf_bugid,bf_project,bf_product,bf_de_manager,bf_severity,submit_age,Pin
CSCvp14224,CSC.labtrunk,ir1100,ningzhao,moderate,13,sparrow
CSCvp21631,CSC.sys,warbler,tslo,enhancement,13,lorapartner
CSCvp38906,CSC.labtrunk,petra,teresang,enhancement,11,petra
CSCvp48375,CSC.labtrunk,esr6300,ningzhao,enhancement,10,blackheart
CSCvp61661,CSC.labtrunk,petra,teresang,moderate,8,petra
CSCvp62333,CSC.labtrunk,esr6300,ningzhao,moderate,8,blackheart
CSCvp79737,CSC.labtrunk,esr6300,ningzhao,moderate,6,blackheart
CSCvp97333,CSC.labtrunk,esr6300,ningzhao,moderate,5,blackheart
CSCvq11329,CSC.sys,all,rasrao,severe,3,iotgsw
CSCux90388,CSC.labtrunk,cgr1000,ningzhao,minor,180,cgr1k
CSCux93561,CSC.sibu.dev,dms-internal,tslo,moderate,180,dmm
CSCux97259,CSC.labtrunk,volt,teresang,moderate,180,iotgsw
CSCux97629,CSC.sibu.dev,dms-internal,tslo,moderate,180,dmm
CSCuy05848,CSC.labtrunk,moreno,teresang,moderate,179,iotgsw
CSCuy19403,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy19669,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy21410,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy21514,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy28300,CSC.labtrunk,cgr1000,ningzhao,moderate,177,cgr1k
CSCuy30702,CSC.labtrunk,c800,ningzhao,moderate,176,gemboa
CSCuy34862,CSC.general,dms,tslo,severe,176,dmp
CSCuy46890,CSC.labtrunk,gemboa,tslo,moderate,175,gemboa
